id,longitude,latitude,calls
196,-2.886163,5.229328,205492
197,-3.32269,5.270399,31119
198,-3.768528,5.238152,218498
199,-6.735694,8.845928,8798
200,-6.617047,8.052,83891
201,-6.44762,8.211287,2519
202,-6.957015,7.92633,19355
203,-6.389606,7.904465,5492
204,-6.934305,8.319946,2964
205,-6.559708,8.529738,29661
206,-7.031989,8.76511,1152
207,-5.839227,7.852054,11573
208,-6.159417,8.434637,2995
209,-5.682539,8.207216,68903
210,-6.062438,7.804191,1643
211,-6.336081,8.834934,39731
212,-2.81423,8.038299,537583
213,-2.956078,7.955914,22855
214,-3.085381,8.076264,23081
215,-3.332398,8.175572,13838
216,-3.085807,8.390748,82412
217,-2.702508,8.430454,36851
218,-3.733849,8.097782,35052
219,-3.26193,9.747313,43123
220,-3.371306,9.152394,72369
222,-3.559124,8.485728,44275
223,-3.33732,7.514109,43203
224,-3.589324,7.744112,36395
225,-3.164144,7.277776,93961
226,-3.054466,7.506552,7508
227,-2.968563,7.718578,137295
228,-3.209595,7.831601,164120
229,-6.110841,8.059679,114583
230,-5.848481,8.459074,13190
231,-3.375685,5.163316,20240
232,-4.202967,7.299683,157412
233,-3.925581,6.769287,427659
234,-4.611954,6.456701,33357
235,-3.325625,6.095182,215707
236,-7.464631,6.892702,30104
237,-7.618685,6.482504,660408
238,-7.844539,10.053335,15967
240,-7.713328,9.632629,68361
241,-7.582452,8.674356,246
242,-7.556615,8.252904,244739
243,-7.845864,8.19177,48964
244,-8.06958,8.349665,9024
246,-5.767401,9.231673,29
247,-7.788882,6.950375,28654
248,-7.555423,7.785384,535988
249,-4.804022,7.44947,11748
250,-4.968035,6.544904,506121
251,-4.856789,6.347227,7581
252,-5.22598,8.692048,87726
253,-5.150988,8.09543,85532
254,-5.861952,7.500366,75600
255,-4.24828,5.807725,397815
